name,matched_name,match_score,height,preferred_foot
Jorg Butt,,0.0,,
Dennis Aogo,dennis aogo,100.0,184.0,left
Elson,ben nelson,90.0,193.0,
Jerome Boateng,,0.0,,
Holger Badstuber,holger badstuber,100.0,190.0,left
Marvin Compper,marvin compper,100.0,185.0,left
Theofanis Gekas,theofanis gekas,100.0,179.0,right
Christian Fuchs,christian fuchs,100.0,187.0,left
Roel Brouwers,roel brouwers,100.0,192.0,right
Aliaksandr Hleb,,0.0,,
Marco Russ,marco russ,100.0,190.0,right
Lewis Holtby,lewis holtby,100.0,176.0,left
Sven Bender,sven bender,100.0,186.0,right
Lukasz Piszczek,lukasz piszczek,100.0,184.0,right
Ruud van Nistelrooij,,0.0,,
Aleksandar Vasoski,,0.0,,
Arne Friedrich,,0.0,,
Albert Bunjaku,,0.0,,
Taner Yalcin,taner yalcin,100.0,187.0,both
Karim Haggui,karim haggui,100.0,,
Vedad Ibisevic,vedad ibisevic,100.0,188.0,right
Philipp Heerwagen,,0.0,,
Daniel Schwaab,daniel schwaab,100.0,186.0,right
Dennis Diekmeier,dennis diekmeier,100.0,188.0,right
Dominic Maroh,dominic maroh,100.0,186.0,right
Benjamin Kohler,benjamin kaPhler,90.32258064516128,,
Marwin Hitz,marwin hitz,100.0,194.0,right
Ioannis Amanatidis,,0.0,,
Sergio Pinto,,0.0,,
Raul Bobadilla,,0.0,,
Petri Pasanen,petri pasanen,100.0,187.0,right
Mike Frantz,mike frantz,100.0,182.0,right
Miso Brecko,miso brecko,100.0,178.0,right
Jan Rosenthal,jan rosenthal,100.0,186.0,right
Karim Matmour,karim matmour,100.0,,
Guy Demel,guy demel,100.0,,
Luiz Gustavo,luiz gustavo,100.0,187.0,left
Yacine Abdessadki,,0.0,,
Marcel Schmelzer,marcel schmelzer,100.0,180.0,left
Thomas Hitzlsperger,thomas hitzlsperger,100.0,,
Christian Eichner,chris,90.0,,
Ricardo Clark,ricardo clarke,96.2962962962963,180.0,right
Pierre Wome,,0.0,,
Halil Altintop,halil altintop,100.0,185.0,right
Joel Matip,joel matip,100.0,195.0,right
Steven Cherundolo,steven cherundolo,100.0,172.0,right
Michael Bradley,michael bradley,100.0,189.0,right
Constant Djakpa,constant djakpa,100.0,177.0,left
Manuel Neuer,manuel neuer,100.0,193.0,right
Philipp Bonig,,0.0,,
Arnold Bruggink,,0.0,,
Serdar Tasci,serdar tasci,100.0,,
Frank Rost,frank ross,90.0,172.0,both
Umit Korkmaz,amit korkmaz,91.66666666666666,174.0,right
Makoto Hasebe,makoto hasebe,100.0,180.0,right
Christian Schulz,christian schulz,100.0,185.0,left
Pavel Krmas,pavel krmas,100.0,193.0,both
Joris Mathijsen,joris mathijsen,100.0,,
Youssef Mohamad,,0.0,,
Gojko Kacar,gojko kacar,100.0,,
Andreas Ottl,andreas ottl,100.0,,
Isaac Vorsah,isaac,90.0,185.0,both
Manuel Schmiedebach,manuel schmiedebach,100.0,171.0,right
Arouna Kone,,0.0,,
Papiss Cisse,,0.0,,
Danijel Pranjic,danijel pranjic,100.0,172.0,left
Christopher Schorch,chris,90.0,,
Peer Kluge,peer kluge,100.0,,
Christoph Dabrowski,,0.0,,
Eugen Polanski,eugen polanski,100.0,183.0,right
Robert Enke,robert,90.0,174.0,right
Mergim Mavraj,mergim mavraj,100.0,189.0,left
Hugo Almeida,hugo almeida,100.0,191.0,left
Andreas Ivanschitz,andreas ivanschitz,100.0,183.0,left
Ricardo Osorio,ricardo,90.0,187.0,left
Niko Bungert,niko bungert,100.0,188.0,right
Heiko Butscher,heiko butscher,100.0,189.0,both
Caio Cesar,,0.0,,
Kevin Pezzoni,kevin,90.0,176.0,right
Obafemi Martins,obafemi martins,100.0,170.0,both
Zdravko Kuzmanovic,zdravko kuzmanovic,100.0,186.0,right
Mickael Tavares,,0.0,,
Dede,,0.0,,
Ilkay Gundogan,,0.0,,
Roberto Hilbert,roberto hilbert,100.0,182.0,right
Faryd Mondragon,,0.0,,
Andre Lenz,,0.0,,
Florian Kringe,,0.0,,
Tim Wiese,tim wiese,100.0,,
Tunay Torun,tunay torun,100.0,176.0,right
Lukas Podolski,lukas podolski,100.0,182.0,left
Marcel Schafer,marcel scha$?fer,93.33333333333333,184.0,left
Jens Lehmann,,0.0,,
Jiri Stajner,,0.0,,
Eric Choupo-Moting,,0.0,,
Bo Svensson,bo svensson,100.0,190.0,right
Andrea Barzagli,andrea barzagli,100.0,187.0,right
Felipe Santana,felipe santana,100.0,194.0,right
Michal Kadlec,michal kadlec,100.0,185.0,left
Logan Bailly,logan bailly,100.0,189.0,left
Andreas Wolf,andreas wolf,100.0,182.0,right
Fabian Giefer,fabian giefer,100.0,196.0,right
Peter Pekarik,peter pekarik,100.0,177.0,right
Christoph Moritz,christoph moritz,100.0,186.0,right
Florian Heller,,0.0,,
Mimoun Azaouagh,,0.0,,
Edu,edu,100.0,185.0,right
Markus Steinhofer,markus steinhaPfer,91.42857142857143,,
Milivoje Novakovic,,0.0,,
Cedrick Makiadi,cedrick,90.0,168.0,right
Roman Weidenfeller,roman weidenfeller,100.0,190.0,left
Milos Maric,milos maric,100.0,,
David Rozehnal,david rozehnal,100.0,,
Miroslav Karhan,,0.0,,
Sofian Chahed,sofian chahed,100.0,,
Steve Von Bergen,steve von bergen,100.0,182.0,right
Mineiro,anderson mineiro,90.0,184.0,left
Maniche,,0.0,,
Fabrice Ehret,fabrice ehret,100.0,,
Joel Epalle,,0.0,,
Florian Fromlowitz,,0.0,,
Lars Bender,lars bender,100.0,185.0,right
Alexander Madlung,alexander madlung,100.0,,
Tobias Weis,tobias weis,100.0,170.0,both
Patrick Ebert,patrick ebert,100.0,175.0,right
Leon Andreasen,leon andreasen,100.0,,
Daniel Gygax,dani,90.0,183.0,right
Luca Toni,luca toni,100.0,,
Julian Schuster,julian schuster,100.0,189.0,right
Oka Nikolov,oka nikolov,100.0,188.0,right
Franco Zuculini,franco zuculini,100.0,176.0,right
Nemanja Pejcinovic,nemanja pejcinovic,100.0,185.0,right
Johannes Flum,johannes flum,100.0,190.0,right
Marc Pfertzel,,0.0,,
Hao Junmin,,0.0,,
Jan Simak,,0.0,,
Karim Ziani,,0.0,,
Alexander Baumjohann,alexander baumjohann,100.0,178.0,right
Roberto Colautti,roberto,90.0,192.0,right
Anatoliy Tymoshchuk,anatoliy tymoshchuk,100.0,181.0,right
Jean-Sebastien Jaures,,0.0,,
Milorad Pekovic,milorad pekovic,100.0,189.0,left
Elson,ben nelson,90.0,193.0,
Jonathan Pitroipa,jonathan pitroipa,100.0,176.0,right
Levan Kenia,levan kenia,100.0,176.0,left
Stefano Celozzi,stefano celozzi,100.0,,
Filip Daems,filip daems,100.0,,
Stanislav Sestak,stanislav sestak,100.0,179.0,right
Mikael Forssell,mikael,90.0,184.0,left
Roman Prokoph,,0.0,,
Matias Concha,,0.0,,
Juri Judt,,0.0,,
Jonathan Santana,jonathan,90.0,170.0,right
Vicente Sanchez,,0.0,,
